food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species,taxon,taxrank,kraken_raw_reads,reads,sample_id,lineage,taxid_lineage,relative_abundance,total_reads,total_raw_reads,bacteria_reads,human_reads
326,Carob,Vegetables,Other vegetables,20340,genbank,species,20340,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Ceratonia,Ceratonia siliqua,Ceratonia siliqua,species,311,318,positive_3,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Ceratonia;s__Ceratonia siliqua,2759;35493;3398;72025;3803;20339;20340,3.64100055153144e-05,8733863,5123279,7890746,2118
12,Pineapple,Fruits,Tropical fruits,4615,genbank,species,4615,Eukaryota,Streptophyta,Magnoliopsida,Poales,Bromeliaceae,Ananas,Ananas comosus,Ananas comosus,species,9601,9674,positive_3,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Bromeliaceae;g__Ananas;s__Ananas comosus,2759;35493;3398;38820;4613;4614;4615,0.00110764274639985,8733863,5123279,7890746,2118
588,Common dab,Aquatic foods,Fishes,27771,genbank,species,27771,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Pleuronectidae,Limanda,Limanda limanda,Limanda limanda,species,143214,156310,positive_3,k__Eukaryota;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Limanda;s__Limanda limanda,2759;7711;186623;8252;8256;8257;27771,0.017897006170122,8733863,5123279,7890746,2118
522,Yellowfin_tuna,Aquatic foods,Fishes,8236,genbank,species,8236,Eukaryota,Chordata,Actinopteri,Scombriformes,Scombridae,Thunnus,Thunnus albacares,Thunnus albacares,species,655,2320,positive_3,k__Eukaryota;p__Chordata;c__Actinopteri;o__Scombriformes;f__Scombridae;g__Thunnus;s__Thunnus albacares,2759;7711;186623;1489894;8224;8234;8236,0.000265632744640029,8733863,5123279,7890746,2118
571,Spot croaker,Aquatic foods,Fishes,59837,nucleotide,species,59837,Eukaryota,Chordata,Actinopteri,"",Sciaenidae,Leiostomus,Leiostomus xanthurus,Leiostomus xanthurus,species,40,45,positive_3,k__Eukaryota;p__Chordata;c__Actinopteri;o__;f__Sciaenidae;g__Leiostomus;s__Leiostomus xanthurus,2759;7711;186623;;30870;59836;59837,5.15235927103505e-06,8733863,5123279,7890746,2118
400,Katharina tunicata,Aquatic foods,Mollusks,34587,genbank,species,34587,Eukaryota,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,Katharina tunicata,Katharina tunicata,species,168,171,positive_3,k__Eukaryota;p__Mollusca;c__Polyplacophora;o__Chitonida;f__Mopaliidae;g__Katharina;s__Katharina tunicata,2759;6447;6650;6652;34585;34586;34587,1.95789652299332e-05,8733863,5123279,7890746,2118
87,Hippophae rhamnoides,Fruits,Berries,193516,genbank,species,193516,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Elaeagnaceae,Hippophae,Hippophae rhamnoides,Hippophae rhamnoides,species,534141,549620,positive_10,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Elaeagnaceae;g__Hippophae;s__Hippophae rhamnoides,2759;35493;3398;3744;25996;48233;193516,0.0636374962196349,8636732,5605801,7891202,2413
292,Pyrus pyrifolia,Fruits,Pomes,3767,genbank,species,3767,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Pyrus,Pyrus pyrifolia,Pyrus pyrifolia,species,1001,2371,positive_10,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Pyrus;s__Pyrus pyrifolia,2759;35493;3398;3744;3745;3766;3767,0.000274525132885911,8636732,5605801,7891202,2413
129,Parsnip,Vegetables,Root vegetables,4041,nucleotide,species,4041,Eukaryota,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pastinaca,Pastinaca sativa,Pastinaca sativa,species,1853,38829,positive_10,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae;g__Pastinaca;s__Pastinaca sativa,2759;35493;3398;4036;4037;4040;4041,0.00449579771608057,8636732,5605801,7891202,2413
17,Arctium_lappa,Vegetables,Root vegetables,4217,genbank,species,4217,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Arctium,Arctium lappa,Arctium lappa,species,9930,10768,positive_10,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Arctium;s__Arctium lappa,2759;35493;3398;4209;4210;4216;4217,0.00124676787470076,8636732,5605801,7891202,2413
357,Freshwater_drum,Aquatic foods,Fishes,225389,nucleotide,species,225389,Eukaryota,Chordata,Actinopteri,"",Sciaenidae,Aplodinotus,Aplodinotus grunniens,Aplodinotus grunniens,species,132723,140636,positive_10,k__Eukaryota;p__Chordata;c__Actinopteri;o__;f__Sciaenidae;g__Aplodinotus;s__Aplodinotus grunniens,2759;7711;186623;;30870;225388;225389,0.0162834738880401,8636732,5605801,7891202,2413
581,Blue whiting,Aquatic foods,Fishes,81636,nucleotide,species,81636,Eukaryota,Chordata,Actinopteri,Gadiformes,Gadidae,Micromesistius,Micromesistius poutassou,Micromesistius poutassou,species,599,678,positive_10,k__Eukaryota;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Micromesistius;s__Micromesistius poutassou,2759;7711;186623;8043;8045;81635;81636,7.85019148446426e-05,8636732,5605801,7891202,2413
311,Bowhead whale,Aquatic foods,Cetaceans,27602,nucleotide,species,27602,Eukaryota,Chordata,Mammalia,Artiodactyla,Balaenidae,Balaena,Balaena mysticetus,Balaena mysticetus,species,39,39,positive_10,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Balaenidae;g__Balaena;s__Balaena mysticetus,2759;7711;40674;91561;30558;27601;27602,4.51559687159449e-06,8636732,5605801,7891202,2413
583,Chanterelle,Vegetables,Mushrooms,36066,genbank,species,36066,Eukaryota,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Cantharellus,Cantharellus cibarius,Cantharellus cibarius,species,176,176,positive_10,k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellaceae;g__Cantharellus;s__Cantharellus cibarius,2759;5204;155619;36064;57201;36065;36066,2.03780781897597e-05,8636732,5605801,7891202,2413
607,Metroxylon_sagu,Herbs and Spices,Oilseed crops,93297,genbank,species,93297,Eukaryota,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Metroxylon,Metroxylon sagu,Metroxylon sagu,species,591264,599813,positive_5,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Arecales;f__Arecaceae;g__Metroxylon;s__Metroxylon sagu,2759;35493;3398;40551;4710;93296;93297,0.0692625831034831,8659986,5635656,7890555,3965
88,Barley,Cereals and cereal products,Cereals,4513,genbank,species,4513,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Hordeum,Hordeum vulgare,Hordeum vulgare,species,9615,10793,positive_5,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Hordeum;s__Hordeum vulgare,2759;35493;3398;38820;4479;4512;4513,0.00124630686469932,8659986,5635656,7890555,3965
49,Chicory,Vegetables,Root vegetables,13427,genbank,species,13427,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus,Cichorium intybus,species,87866,112020,positive_5,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Cichorium;s__Cichorium intybus,2759;35493;3398;4209;4210;13426;13427,0.0129353557846398,8659986,5635656,7890555,3965
250,"",Vegetables,Leaf vegetables,13427,genbank,species,13427,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus,Cichorium intybus,species,87866,112020,positive_5,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Cichorium;s__Cichorium intybus,2759;35493;3398;4209;4210;13426;13427,0.0129353557846398,8659986,5635656,7890555,3965
254,Chicory,Vegetables,Root vegetables,13427,genbank,species,13427,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Cichorium,Cichorium intybus,Cichorium intybus,species,87866,112020,positive_5,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Cichorium;s__Cichorium intybus,2759;35493;3398;4209;4210;13426;13427,0.0129353557846398,8659986,5635656,7890555,3965
325,Carissa macrocarpa,Fruits,Tropical fruits,403101,nucleotide,species,403101,Eukaryota,Streptophyta,Magnoliopsida,Gentianales,Apocynaceae,Carissa,Carissa macrocarpa,Carissa macrocarpa,species,709,5495,positive_5,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Gentianales;f__Apocynaceae;g__Carissa;s__Carissa macrocarpa,2759;35493;3398;4055;4056;84860;403101,0.000634527584686627,8659986,5635656,7890555,3965
198,Azuki bean,Pulses,Beans,3914,genbank,species,3914,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vigna,Vigna angularis,Vigna angularis,species,206,540,positive_5,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Vigna;s__Vigna angularis,2759;35493;3398;72025;3803;3913;3914,6.23557590046912e-05,8659986,5635656,7890555,3965
326,Carob,Vegetables,Other vegetables,20340,genbank,species,20340,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Ceratonia,Ceratonia siliqua,Ceratonia siliqua,species,21,21,positive_5,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Ceratonia;s__Ceratonia siliqua,2759;35493;3398;72025;3803;20339;20340,2.42494618351577e-06,8659986,5635656,7890555,3965
427,Okra,Vegetables,Other vegetables,455045,genbank,species,455045,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus esculentus,Abelmoschus esculentus,species,144,149,positive_5,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Abelmoschus;s__Abelmoschus esculentus,2759;35493;3398;41938;3629;183218;455045,1.72055705401833e-05,8659986,5635656,7890555,3965
609,Pikeperch,Aquatic foods,Fishes,283035,genbank,species,283035,Eukaryota,Chordata,Actinopteri,Perciformes,Percidae,Sander,Sander lucioperca,Sander lucioperca,species,24001,36635,positive_5,k__Eukaryota;p__Chordata;c__Actinopteri;o__Perciformes;f__Percidae;g__Sander;s__Sander lucioperca,2759;7711;186623;8111;8165;283033;283035,0.00423037635395716,8659986,5635656,7890555,3965
430,Ostrich,Animal foods,Poultry,8801,genbank,species,8801,Eukaryota,Chordata,Aves,Struthioniformes,Struthionidae,Struthio,Struthio camelus,Struthio camelus,species,629989,640134,positive_16,k__Eukaryota;p__Chordata;c__Aves;o__Struthioniformes;f__Struthionidae;g__Struthio;s__Struthio camelus,2759;7711;8782;8798;8799;8800;8801,0.0732615246011058,8737656,5752608,7891451,2284
378,Guinea_hen,Animal foods,Poultry,8996,genbank,species,8996,Eukaryota,Chordata,Aves,Galliformes,Numididae,Numida,Numida meleagris,Numida meleagris,species,11,11,positive_16,k__Eukaryota;p__Chordata;c__Aves;o__Galliformes;f__Numididae;g__Numida;s__Numida meleagris,2759;7711;8782;8976;8990;8995;8996,1.25891886794353e-06,8737656,5752608,7891451,2284
350,Atlantic croaker,Aquatic foods,Fishes,29154,nucleotide,species,29154,Eukaryota,Chordata,Actinopteri,"",Sciaenidae,Micropogonias,Micropogonias undulatus,Micropogonias undulatus,species,10406,11133,positive_16,k__Eukaryota;p__Chordata;c__Actinopteri;o__;f__Sciaenidae;g__Micropogonias;s__Micropogonias undulatus,2759;7711;186623;;30870;29153;29154,0.00127414034152867,8737656,5752608,7891451,2284
565,Enokitake,Vegetables,Mushrooms,38945,genbank,species,38945,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,Flammulina velutipes,Flammulina velutipes,species,170,171,positive_16,k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Physalacriaceae;g__Flammulina;s__Flammulina velutipes,2759;5204;155619;5338;862241;38944;38945,1.95704660380313e-05,8737656,5752608,7891451,2284
510,Wax_gourd,Gourds,Gourds,102211,genbank,species,102211,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Benincasa,Benincasa hispida,Benincasa hispida,species,148108,152516,positive_16,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Benincasa;s__Benincasa hispida,2759;35493;3398;71239;3650;102210;102211,0.0174550245512069,8737656,5752608,7891451,2284
41,Papaya,Fruits,Tropical fruits,3649,genbank,species,3649,Eukaryota,Streptophyta,Magnoliopsida,Brassicales,Caricaceae,Carica,Carica papaya,Carica papaya,species,36863,37472,positive_16,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Caricaceae;g__Carica;s__Carica papaya,2759;35493;3398;3699;3647;3648;3649,0.00428856434723454,8737656,5752608,7891451,2284
360,Durian,Fruits,Tropical fruits,66656,genbank,species,66656,Eukaryota,Streptophyta,Magnoliopsida,Malvales,Malvaceae,Durio,Durio zibethinus,Durio zibethinus,species,21,21,positive_16,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Durio;s__Durio zibethinus,2759;35493;3398;41938;3629;66655;66656,2.40339056607401e-06,8737656,5752608,7891451,2284
879,Capsicum_pubescens,Vegetables,Fruit vegetables,113210,genbank,species,113210,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Capsicum,Capsicum pubescens,Capsicum pubescens,species,1253,2463,positive_16,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;s__Capsicum pubescens,2759;35493;3398;4069;4070;4071;113210,0.000281883379249538,8737656,5752608,7891451,2284
350,Atlantic croaker,Aquatic foods,Fishes,29154,nucleotide,species,29154,Eukaryota,Chordata,Actinopteri,"",Sciaenidae,Micropogonias,Micropogonias undulatus,Micropogonias undulatus,species,663733,710554,positive_6,k__Eukaryota;p__Chordata;c__Actinopteri;o__;f__Sciaenidae;g__Micropogonias;s__Micropogonias undulatus,2759;7711;186623;;30870;29153;29154,0.0807203089699974,8802667,5705840,7890649,2653
327,Common carp,Aquatic foods,Fishes,7962,genbank,species,7962,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,Cyprinus carpio,species,547,582,positive_6,k__Eukaryota;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Cyprinus;s__Cyprinus carpio,2759;7711;186623;7952;7953;7961;7962,6.61163258816902e-05,8802667,5705840,7890649,2653
303,Bison,Animal foods,Bovines,9901,genbank,species,9901,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,Bison bison,Bison bison,species,137,32273,positive_6,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bison;s__Bison bison,2759;7711;40674;91561;9895;9900;9901,0.00366627523226768,8802667,5705840,7890649,2653
365,Emu,Animal foods,Poultry,8790,genbank,species,8790,Eukaryota,Chordata,Aves,Casuariiformes,Dromaiidae,Dromaius,Dromaius novaehollandiae,Dromaius novaehollandiae,species,40,42,positive_6,k__Eukaryota;p__Chordata;c__Aves;o__Casuariiformes;f__Dromaiidae;g__Dromaius;s__Dromaius novaehollandiae,2759;7711;8782;8784;8788;8789;8790,4.77128124919414e-06,8802667,5705840,7890649,2653
404,American lobster,Aquatic foods,Crustaceans,6706,genbank,species,6706,Eukaryota,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,Homarus americanus,Homarus americanus,species,2265,2317,positive_6,k__Eukaryota;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Nephropidae;g__Homarus;s__Homarus americanus,2759;6656;6681;6683;6704;6705;6706,0.00026321568224721,8802667,5705840,7890649,2653
241,Welsh_onion,Herbs and Spices,Herbs,35875,genbank,species,35875,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium fistulosum,Allium fistulosum,species,104021,153553,positive_6,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium fistulosum,2759;35493;3398;73496;4668;4678;35875,0.0174439178489883,8802667,5705840,7890649,2653
206,Ginger,Herbs and Spices,Spices,94328,genbank,species,94328,Eukaryota,Streptophyta,Magnoliopsida,Zingiberales,Zingiberaceae,Zingiber,Zingiber officinale,Zingiber officinale,species,92,92,positive_6,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Zingiberales;f__Zingiberaceae;g__Zingiber;s__Zingiber officinale,2759;35493;3398;4618;4642;4650;94328,1.04513779744253e-05,8802667,5705840,7890649,2653
142,Purslane,Herbs and Spices,Herbs,46147,genbank,species,46147,Eukaryota,Streptophyta,Magnoliopsida,Caryophyllales,Portulacaceae,Portulaca,Portulaca oleracea,Portulaca oleracea,species,9918,9952,positive_6,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Portulacaceae;g__Portulaca;s__Portulaca oleracea,2759;35493;3398;3524;3581;3582;46147,0.00113056645219,8802667,5705840,7890649,2653
65,Cucumber,Gourds,Gourds,3659,genbank,species,3659,Eukaryota,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Cucumis sativus,Cucumis sativus,species,523950,586299,positive_2,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucumis;s__Cucumis sativus,2759;35493;3398;71239;3650;3655;3659,0.067681900757593,8662567,5503861,7891590,2334
16,Mr. Peanut,Nuts,Nuts,3818,genbank,species,3818,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis hypogaea,Arachis hypogaea,species,9379,9568,positive_2,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Arachis;s__Arachis hypogaea,2759;35493;3398;72025;3803;3817;3818,0.00110452248161544,8662567,5503861,7891590,2334
326,Carob,Vegetables,Other vegetables,20340,genbank,species,20340,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Ceratonia,Ceratonia siliqua,Ceratonia siliqua,species,1219,1258,positive_2,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Ceratonia;s__Ceratonia siliqua,2759;35493;3398;72025;3803;20339;20340,0.000145222542001695,8662567,5503861,7891590,2334
288,Allspice,Herbs and Spices,Spices,375272,nucleotide,species,375272,Eukaryota,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,Pimenta,Pimenta dioica,Pimenta dioica,species,1315,127520,positive_2,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Myrtales;f__Myrtaceae;g__Pimenta;s__Pimenta dioica,2759;35493;3398;41944;3931;260138;375272,0.0147208096630017,8662567,5503861,7891590,2334
234,Rambutan,Fruits,Tropical fruits,151071,genbank,species,151071,Eukaryota,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Nephelium,Nephelium lappaceum,Nephelium lappaceum,species,115,120,positive_2,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Sapindales;f__Sapindaceae;g__Nephelium;s__Nephelium lappaceum,2759;35493;3398;41937;23672;151070;151071,1.38527067092237e-05,8662567,5503861,7891590,2334
569,Maitake,Vegetables,Mushrooms,5627,genbank,species,5627,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Grifolaceae,Grifola,Grifola frondosa,Grifola frondosa,species,43111,43155,positive_2,k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Grifolaceae;g__Grifola;s__Grifola frondosa,2759;5204;155619;5303;2028216;5626;5627,0.00498177965030458,8662567,5503861,7891590,2334
473,Scup,Aquatic foods,Fishes,35579,nucleotide,species,35579,Eukaryota,Chordata,Actinopteri,Spariformes,Sparidae,Stenotomus,Stenotomus chrysops,Stenotomus chrysops,species,671,679,positive_2,k__Eukaryota;p__Chordata;c__Actinopteri;o__Spariformes;f__Sparidae;g__Stenotomus;s__Stenotomus chrysops,2759;7711;186623;1489931;8169;35578;35579,7.83832321296909e-05,8662567,5503861,7891590,2334
327,Common carp,Aquatic foods,Fishes,7962,genbank,species,7962,Eukaryota,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Cyprinus,Cyprinus carpio,Cyprinus carpio,species,10,10,positive_2,k__Eukaryota;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Cyprinidae;g__Cyprinus;s__Cyprinus carpio,2759;7711;186623;7952;7953;7961;7962,1.15439222576864e-06,8662567,5503861,7891590,2334
541,Domestic_goat,Animal foods,Caprae,9925,genbank,species,9925,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Capra hircus,species,187222,633937,positive_14,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Capra;s__Capra hircus,2759;7711;40674;91561;9895;9922;9925,0.0724917312334104,8744956,5328339,7889524,2654
483,Sheep,Animal foods,Ovis,9940,genbank,species,9940,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Ovis aries,species,17,52,positive_14,k__Eukaryota;p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Ovis;s__Ovis aries,2759;7711;40674;91561;9895;9935;9940,5.94628492127348e-06,8744956,5328339,7889524,2654
603,Norway_lobster,Aquatic foods,Crustaceans,6829,nucleotide,species,6829,Eukaryota,Arthropoda,Malacostraca,Decapoda,Nephropidae,Nephrops,Nephrops norvegicus,Nephrops norvegicus,species,8036,8479,positive_14,k__Eukaryota;p__Arthropoda;c__Malacostraca;o__Decapoda;f__Nephropidae;g__Nephrops;s__Nephrops norvegicus,2759;6656;6681;6683;6704;6828;6829,0.000969587497066881,8744956,5328339,7889524,2654
569,Maitake,Vegetables,Mushrooms,5627,genbank,species,5627,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Grifolaceae,Grifola,Grifola frondosa,Grifola frondosa,species,42932,42986,positive_14,k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Grifolaceae;g__Grifola;s__Grifola frondosa,2759;5204;155619;5303;2028216;5626;5627,0.00491551930049734,8744956,5328339,7889524,2654
197,Broad_bean,Pulses,Beans,3906,genbank,species,3906,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia faba,Vicia faba,species,162191,164522,positive_14,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Vicia;s__Vicia faba,2759;35493;3398;72025;3803;3904;3906,0.0188133593811107,8744956,5328339,7889524,2654
