compound_id,name,mono_mass,source_type,unit,median_content,min_content,max_content,iqr_content,n_foods_measured,n_total_foods
12763,"(Z,Z)-9,12-Octadecadienoic acid",280.240230268,Compound,mg/100g,373,0,74500,761,254,561
12465,alpha-Linolenic acid,278.224580204,Compound,mg/100g,30,0,53368,91,258,561
2943,Stearidonic acid,276.20893014,Compound,mg/100g,0,0,3000,0,191,561
11875,Arachidonic acid,304.240230268,Compound,mg/100g,0,0,720,0,192,561
3103,Eicosapentaenoic acid,302.224580204,Compound,mg/100g,0,0,13168,0,355,561
3004,Doconexent,328.240230268,Compound,mg/100g,0,0,13500,0,354,561
13272,Cholesterol,386.354866094,Compound,mg/100g,0,0,791,68,425,561
12400,L-Isoleucine,131.094628665,Compound,mg/100g,657,0,40000,983,348,561
1946,L-Leucine,131.094628665,Compound,mg/100g,937,0,7200,1675,375,561
474,L-Lysine,146.105527702,Compound,mg/100g,783.3,0,60000,1862,352,561
12686,L-Methionine,149.051049291,Compound,mg/100g,203.5,0,10000,552,375,561
12566,L-Cystine,240.023848262,Compound,mg/100g,140,0,1307,250,364,561
446,L-Tyrosine,181.073893223,Compound,mg/100g,373.5,0,19000,717.25,373,561
12002,L-Threonine,119.058243159,Compound,mg/100g,442.5,0,42000,886,374,561
2250,L-Tryptophan,204.089877638,Compound,mg/100g,146,0,2247.401827,220,347,561
2257,Arginine,174.111675712,Compound,mg/100g,870,0,50000,1399,373,561
11859,L-Histidine,155.069476547,Compound,mg/100g,306.55,0,21000,705,374,561
556,L-Alanine,89.047678473,Compound,mg/100g,705,0,95000,1228,369,561
12570,L-Aspartic acid,133.037507717,Compound,mg/100g,1544,0,10203,2065.15,329,561
12538,L-Glutamic acid,147.053157781,Compound,mg/100g,2572,0,17452,3439,325,561
484,Glycine,75.032028409,Compound,mg/100g,666,0,44000,1118,369,561
570,L-Proline,115.063328537,Compound,mg/100g,678,0,33000,939.5,366,561
12742,L-Serine,105.042593095,Compound,mg/100g,586,0,62000,873,369,561
678,(S)-Naringenin,272.068473494,Compound,mg/100g,0,0,4040,0.49,87,561
2677,Hesperetin,302.07903818,Compound,mg/100g,0,0,43,0,84,561
2798,Apigenin,270.05282343,Compound,mg/100g,0,0,4503.5,0.01,156,561
13258,Luteolin,286.047738052,Compound,mg/100g,0,0,1028.75,0.47,162,561
633,Kaempferol,286.047738052,Compound,mg/100g,0.02,0,259.19,0.86,200,561
12727,Myricetin,318.037567296,Compound,mg/100g,0,0,65.214285714,0.2,173,561
11907,Quercetin,302.042652674,Compound,mg/100g,0.5324,0,14900,3.12499997,222,561
13401,Nitrogen,28.00614801,Compound,mg/100g,1177.5,0,9300,2800,203,561
1,Fat,,Nutrient,mg/100g,2500,0,100000,11200,295,561
39,Ash,,Nutrient,mg/100g,1.121,0,24500,1.001,413,561
21950,"24,25-Dihydroxyvitamin D3",416.329045274,Compound,mg/100g,0,0,0.5,0.000435,183,561
8425,Thiamine,265.112306876,Compound,mg/100g,0.079,0,3.187,0.129,447,561
2251,(±)-Tryptophan,204.089877638,Compound,mg/100g,3.17,0,7000,21.917,186,561
23049,Cobalamin,1328.564331295,Compound,mg/100g,0,0,0.11,0.00065,189,561
2520,(R)-Oxypeucedanin,286.084123558,Compound,mg/100g,100,0,1677,165.4,183,561
21947,beta-Lactose,342.116211546,Compound,mg/100g,0,0,2690,0,183,561
16140,Maltodextrin,,Compound,mg/100g,0,0,3390,0,183,561
10326,"Starch, pregelatinized",692.273893946,Compound,mg/100g,0,0,87000,0,183,561
3307,Nonanoic acid,158.13067982,Compound,mg/100g,0,0,6000,0,185,561
4677,Heptadecanoic acid,270.255880332,Compound,mg/100g,0,0,342,0,184,561
12861,Oleic acid,282.255880332,Compound,mg/100g,131.8,0,75000,4019.5,237,561
21989,"7Z,10Z,13Z,16Z,19Z-Docosapentaenoic acid",330.255880332,Compound,mg/100g,0,0,1010,0,184,561
12126,(±)-erythro-Isoleucine,131.094628665,Compound,mg/100g,69,0,1800,795,183,561
12890,epsilon-Polylysine,146.105527702,Compound,mg/100g,90,0,2600,1400,183,561
24096,D-Aspartic acid,133.037507717,Compound,mg/100g,190,0,4800,1505,183,561
16357,(E)-2-Phenyl-2-butenal,146.073164942,Compound,mg/100g,240,0,8200,2500,183,561
2935,Nervonic acid,366.349780716,Compound,mg/100g,0,0,784,0,183,561
21939,25-Hydroxycholecalciferol,400.334130652,Compound,mg/100g,0,0,0.000148,0,183,561
200000,Energy (calculated),,Nutrient,kcal/100g,148.769133333333,0.266666666666667,900,233.35,217,561
6,13:0,,Nutrient,mg/100g,0,0,27,0,28,561
11,16:1 undifferentiated,,Nutrient,mg/100g,93,0,20330,299,333,561
15,18:1 undifferentiated,,Nutrient,mg/100g,1310,0,82630,4262,342,561
20,18:2 undifferentiated,,Nutrient,mg/100g,260,0,74623,598,345,561
21,18:3 undifferentiated,,Nutrient,mg/100g,30,0,53368,75,333,561
23,18:4,,Nutrient,mg/100g,0,0,2739,0,302,561
24,20:1,,Nutrient,mg/100g,6,0,15020,35,321,561
29,20:4 undifferentiated,,Nutrient,mg/100g,23,0,1343,52,309,561
34,22:1 undifferentiated,,Nutrient,mg/100g,0,0,41175,0,309,561
2100,Caffeine,194.080375584,Compound,mg/100g,0,0,3680,0,277,561
455,Theobromine,180.06472552,Compound,mg/100g,0,0,2175,0,275,561
12706,D-Galactose,180.063388116,Compound,mg/100g,0,0,6465,0,144,561
13831,Retinol,286.229665582,Compound,IU,9,0,100000,128,416,561
13719,alpha-Carotene,536.438201792,Compound,mg/100g,0,0,14.251,0,292,561
21596,Vitamin D,384.33921603,Compound,IU,0,0,10000,4,315,561
12022,beta-Cryptoxanthin,552.433116414,Compound,mg/100g,0,0,6.252,0,290,561
14537,Lycopene,536.438201803,Compound,mg/100g,0,0,46.26,0,279,561
2431,gamma-Tocopherol,416.36543078,Compound,mg/100g,0.02,0,192.35,0.18,159,561
2432,d-Tocopherol,402.349780716,Compound,mg/100g,0,0,104.5,0.01,156,561
710,Choline,104.107539075,Compound,mg/100g,57,0,1350,78.475,274,561
13408,"2',3'-Dihydro-phytomenadione",452.36543078,Compound,mg/100g,0,0,0.0584,0,134,561
9021,Betaine,117.078978601,Compound,mg/100g,7.1,0,1220,12.45,143,561
2944,Gamolenic acid,278.224580204,Compound,mg/100g,0,0,24900,4,74,561
17121,Epicatechin 3-gallate,442.08999678,Compound,mg/100g,0,0,1551,0,73,561
17707,Epigallocatechin,306.073952802,Compound,mg/100g,0,0,1593.1,0.145,101,561
2571,Catechin,290.07903818,Compound,mg/100g,0.250999997,0,965,1.410000006,91,561
2572,Catechin 3-gallate,442.089996796,Compound,mg/100g,0,0,147.8,0,88,561
17712,Gallocatechin,306.073952791,Compound,mg/100g,0,0,14.01193553,0,71,561
21884,Gallocatechin 3-gallate,458.084911418,Compound,mg/100g,0,0,8.853999877,0.485937497,18,561
958,Procyanidin B1,578.142426277,Compound,mg/100g,0.129999995,0,25.777919697,0.948583342,41,561
12207,Procyanidin B2,578.142426277,Compound,mg/100g,0.119999995,0,19.601463574,1.175,42,561
12208,Procyanidin B3,578.142426277,Compound,mg/100g,0.119999995,0,29.375385138,0.820000013,41,561
12209,Procyanidin B4,578.142426277,Compound,mg/100g,0,0,18.469998678,0.04562499875,39,561
17713,Procyanidin B5,578.142426296,Compound,mg/100g,0,0,1.589999994,0,39,561
17715,Procyanidin B7,578.142426296,Compound,mg/100g,0,0,4.689999898,0,39,561
16781,Prodelphinidin B3,610.13225554,Compound,mg/100g,0,0,23.5,0,40,561
17717,Procyanidin C1,866.205814384,Compound,mg/100g,0,0,29.965000153,0.3099999915,39,561
108,Procyanidin trimer EEC,866.205814412,Compound,mg/100g,0,0,7.730000178,0.01,39,561
16498,Kaempferol 3-rhamnoside,432.10564686,Compound,mg/100g,0.0008333335,0,0.158601388,0.00641666675,3,561
16674,Kaempferol 3-rutinoside,594.15847029,Compound,mg/100g,0.0199999995,0,165.764705938,0.970796872,11,561
11887,Quercitrin,448.100561482,Compound,mg/100g,0.1142549675,0,14.6,1.32491884975,25,561
2536,Quercetin 3-rutinoside,610.153384912,Compound,mg/100g,0.258950003,0,4000,3.6066329075,62,561
2593,p-Coumaric acid,164.047344122,Compound,mg/100g,0.5,0,100,3.511033477,110,561
12581,Lariciresinol,360.1572885,Compound,mg/100g,0.046999998,0,11.455749989,0.175000007,18,561
14420,(-)-Matairesinol,370.235538815,Compound,mg/100g,0.0015,0,29.795249671,0.01,20,561
1447,Medioresinol,388.152203122,Compound,mg/100g,0.005,0,4.152999878,0.03,13,561
2760,(+)-Pinoresinol,358.141638436,Compound,mg/100g,0.03725,0,33.782249451,0.20150000225,18,561
12663,Secoisolariciresinol,362.172938564,Compound,mg/100g,0.026000001,0,257.600003052,0.037199998,19,561
14723,(+)-Syringaresinol,418.162767808,Compound,mg/100g,0.069499999,0,0.97299999,0.2352499965,14,561
1111,Chinese tannin,1700.172974276,Compound,mg/100g,6500,3.37,22755,7965,41,561
15475,Lutein,568.428031043,Compound,mg/100g,0.34,0.066,355.6,0.9425,27,561
21462,Pectic acid,546.10682865,Compound,mg/100g,2280,3,14400,3230,46,561
2602,Cyanidin,287.055563084,Compound,mg/100g,1.28,0,669.01,12.755,75,561
2613,Delphinidin,303.050477706,Compound,mg/100g,0,0,201.28,0.69,66,561
2713,Malvidin,331.081777834,Compound,mg/100g,0,0,67.59,0,52,561
12429,Pelargonidin,271.060648462,Compound,mg/100g,0,0,63.13,0.0225,66,561
2753,Peonidin,301.071213148,Compound,mg/100g,0,0,30.54,0.5625,59,561
2755,Petunidin,317.06612777,Compound,mg/100g,0,0,42.69,0,54,561
3762,alpha-Catechin,290.07903818,Compound,mg/100g,0.08,0,99.18,2.18,89,561
823,"2,4,6-Trihydroxybenzoic acid",170.021523302,Compound,mg/100g,10,10,10,0,1,561
846,Vanillic acid,168.042258738,Compound,mg/100g,0.271111113,0,96,1.8,62,561
2237,Trigonelline,137.047678473,Compound,mg/100g,1.3,0.06,800,7.07,13,561
2880,Alliospiroside C,724.403392006,Compound,mg/100g,49.1,49.1,49.1,0,1,561
2881,Alliospiroside D,754.413956692,Compound,mg/100g,7.1,7.1,7.1,0,1,561
3571,Aluminum,30.005013537,Compound,mg/100g,2.2,0.091856294,1050.02,11.150471935,86,561
3576,Boron,14.032780562,Compound,mg/100g,1.05,0.02,18.1,1.73,116,561
3582,Cobalt,58.933200194,Compound,mg/100g,0.0143,0.00004,14.7,0.095475,86,561
3599,17alpha-ethynylestradiol,296.177630012,Compound,mg/100g,870,0.2,18250,1431.25,77,561
3654,Molybdenum,97.905407846,Compound,mg/100g,0.02535,0.0005,1,0.094477926,54,561
3669,Prostaglandin A-1,336.230059512,Compound,mg/100g,0.1,0.1,0.1,0,1,561
3714,Silicon,32.008226661,Compound,mg/100g,4.7,0.2,177,34.8,59,561
3718,Sulfur,31.97207069,Compound,mg/100g,121.85,1.2325,927.25,177.7,94,561
3764,Arsenic,77.945071513,Compound,mg/100g,0.0011,0.00003,1,0.007466829,65,561
3765,Barium,137.905241273,Compound,mg/100g,0.2505,0.001,218.2,1.94125,53,561
3766,Bromine,157.836675294,Compound,mg/100g,1.1,0.1,8.7,2.25,31,561
3767,Cadmium,113.903358121,Compound,mg/100g,0.0042,0,0.45,0.0179375,60,561
3771,Fluorine,18.998403205,Compound,mg/100g,0.11,0.006,0.5,0.1475,41,561
3778,Lead,207.97663585,Compound,mg/100g,0.053,0,4.06,0.15527777375,61,561
3781,Mercury,201.970625604,Compound,mg/100g,0.001,0.00005,6,0.00415,57,561
3784,Rubidium,84.911789341,Compound,mg/100g,0.39,0.01,4.545,0.895774456,53,561
3787,Strontium,87.905614339,Compound,mg/100g,0.42,0.006,50.35,3.823,53,561
3790,Titanium,47.947947053,Compound,mg/100g,0.81775,0.0375,43.5045,3.65,43,561
4182,Lithium,7.016004049,Compound,mg/100g,0.007,0.0003,0.4,0.032837514,36,561
4189,Silver,106.90509302,Compound,mg/100g,0.0075,0.00008708,0.07,0.010025591,24,561
4190,Zirconium,89.904703679,Compound,mg/100g,0.004854977,0.0003,19.6944,0.168787316,38,561
5127,Mevalonic acid,148.073558872,Compound,mg/100g,0.375,0.05,3.3,0.4125,8,561
7855,Alliospiroside A,708.408477384,Compound,mg/100g,460,460,460,0,1,561
7856,Alliospiroside B,738.41904207,Compound,mg/100g,50,50,50,0,1,561
8294,Pyruvic acid,176.032087988,Compound,mg/100g,103.4,103.4,103.4,0,1,561
10496,Diphenylamine,169.089149357,Compound,mg/100g,550.7,550.7,550.7,0,1,561
10510,4-Hydroxybenzoic acid,138.031694053,Compound,mg/100g,0.1118,0,96,1.399999976,63,561
11827,beta-D-Glucopyranose,180.063388116,Compound,mg/100g,2510,43.5,35700,4712.5,34,561
13882,Phloroglucinol,126.031694058,Compound,mg/100g,10,10,10,0,1,561
17102,Quercetin 4'-glucoside,464.095476104,Compound,mg/100g,35.602649689,2.25,570,20.23178444,3,561
20932,Alliofuroside A,888.4718655,Compound,mg/100g,22,22,22,0,1,561
662,Gallic acid,170.021523293,Compound,mg/100g,0.178750001,0,9000,1.563333313,69,561
12203,"2,3-Dihydroxybenzoic acid",154.026608673,Compound,mg/100g,0.2123500075,0,3.3248,0.6536,15,561
2558,Caffeic acid,180.042258744,Compound,mg/100g,0.735714291,0,1900,4.987599998,110,561
8740,Benzoic acid,122.036779433,Compound,mg/100g,0.0325,0,474.100006104,0.34575,17,561
12804,Ferulic acid,194.057908808,Compound,mg/100g,1,0,170.642484029,5.54967490525,100,561
10559,trans-Sinapic acid,224.068473494,Compound,mg/100g,0.2484499995,0,525,2.6981,48,561
604,Isorhamnetin,316.058302738,Compound,mg/100g,0,0,331.24,0.5307,83,561
11844,L-Citrulline,175.095691297,Compound,mg/100g,8.158030769,0.34,175.9,16.4074249425,26,561
12167,Levoglutamide,146.069142196,Compound,mg/100g,502,2,6892.468269,934.097394375,30,561
12539,Glutamic acid,147.053157781,Compound,mg/100g,184.325,25.1,8200,193.9425,25,561
12169,Racemethionine,149.051049291,Compound,mg/100g,10,0.2,480,21.6,25,561
3655,Ornithine,132.089877638,Compound,mg/100g,2.375,0.313474246,6.72,3.63,10,561
13248,(±)-Phenylalanine,165.078978601,Compound,mg/100g,50,6.1,40000,121.58,26,561
30172,Proline,115.063328537,Compound,mg/100g,41,4,3453.9,98.68,24,561
508,"NG,NG-Dimethyl-L-arginine",202.14297584,Compound,mg/100g,0.33,0.06,8.663865534,0.815941495,25,561
21970,Aminoadipic acid,161.068807845,Compound,mg/100g,7.025,0.6,85.08,13.33879847775,18,561
21972,Creatinine,113.058911861,Compound,mg/100g,1.153141949,0.04,138.76,3.22,25,561
567,L-DOPA,197.068807845,Compound,mg/100g,0.38,0.04,11000,2.4500068815,16,561
12166,Dopamine,153.078978601,Compound,mg/100g,0.1,0,41.87642748,0.8273561515,19,561
12599,Histamine,222.159294606,Compound,mg/100g,0.246432676,0.02,22.42,4.342869515,25,561
22952,Methionine sulfoxide,165.045963913,Compound,mg/100g,0.53,0.03,11.32338202,1.034861865,19,561
30174,cis 4-Hydroxyproline,131.058243159,Compound,mg/100g,0.167698648,0,7.99,0.891519053,25,561
13514,4-Hydroxyproline,131.058243159,Compound,mg/100g,142,0,678,132,49,561
1494,Putrescine,88.100048394,Compound,mg/100g,4.27,0.07,114.9340385,10.18217379,21,561
3192,Taurine,125.014663785,Compound,mg/100g,0.4,0.03,23.57,0.75,24,561
3793,Vanadium,50.943963675,Compound,mg/100g,0.00115,0.0002,375,0.02419599325,33,561
30192,Gallium,68.925574,Compound,mg/100g,0.000220865,0.00012,4,0.00022854475,18,561
30200,Niobium,92.90637,Compound,mg/100g,0.00011,0.00004,0.003159437,0.0003346535,18,561
30203,Palladium,105.903483087,Compound,mg/100g,0.0004,0.0001,0.0016,0.000372573,18,561
3723,Tin,123.933496699,Compound,mg/100g,0.057,0.000438337,2.7,0.585,48,561
3763,Antimony,120.903818044,Compound,mg/100g,0.00007,0,0.03,0.00016,23,561
3719,Tellurium,129.906222753,Compound,mg/100g,0.0001696905,0.00009011,0.000538259,0.00015054425,5,561
4262,Cerium,139.905434035,Compound,mg/100g,0.0001,0,3.35,0.0001764125,21,561
3788,Tantalum,180.947996346,Compound,mg/100g,0.0004,0.0001,0.01,0.0006963305,24,561
3791,Tungsten,183.950932553,Compound,mg/100g,0.0013,0.000151154,0.03,0.001755502,26,561
30229,Osmium,191.96148,Compound,mg/100g,0.0003,0.000189406,0.00182524,0.00027592425,18,561
64,Cyanidin 3-O-(6''-malonyl-3''-glucosyl-glucoside),697.161603874,Compound,mg/100g,1,1,1,0,1,561
17158,Cyanidin 3-(6''-malonylglucoside),535.108780444,Compound,mg/100g,0,0,4.301666617,1.6949999865,8,561
21879,Delphinidin 3-glucosylglucoside,627.156124566,Compound,mg/100g,6.5,6.5,6.5,0,1,561
2412,Tangeritin,372.120902994,Compound,mg/100g,0,0,0.063,0,10,561
657,Galangin,270.05282343,Compound,mg/100g,0,0,0,0,8,561
16399,"Quercetin 3,4'-diglucoside",626.148299534,Compound,mg/100g,55.327185928,3.125,101.261258698,53.477055008,2,561
16388,"Quercetin 4',7-diglucoside",626.148299534,Compound,mg/100g,0,0,1.80794704,0.90397352,2,561
14971,Isorhamnetin 4'-glucoside,478.111126168,Compound,mg/100g,2.885714258,0,6,3,1,561
2829,Rhamnetin,316.058302738,Compound,mg/100g,0,0,0,0,8,561
7,14:1,,Nutrient,mg/100g,2,0,1430,50,103,561
8,15:1,,Nutrient,mg/100g,0,0,107,0,92,561
12,17:1,,Nutrient,mg/100g,2,0,287,71,94,561
13,18:1 c,,Nutrient,mg/100g,2897.5,0,74742,3307.25,58,561
14,18:1 t,,Nutrient,mg/100g,159.5,0,29638,445.75,59,561
25,"20:2 n-6 c,c",,Nutrient,mg/100g,1,0,445,17,98,561
28,20:3 undifferentiated,,Nutrient,mg/100g,0,0,353,8,97,561
37,24:1 c,,Nutrient,mg/100g,0,0,644,9.75,75,561
2594,trans-p-Coumaric acid,164.047344122,Compound,mg/100g,0.1516,0.0167,112,0.3949,12,561
3631,Germanium,73.921178213,Compound,mg/100g,0.000025,0,12.8,0.00007,12,561
30198,Yttrium,88.905847902,Compound,mg/100g,0.00004,0,0.0012,0.00004532,14,561
30202,Ruthenium,101.904349503,Compound,mg/100g,0.00006,0,0.00016,0.0000525,14,561
3769,Cesium,132.90544687,Compound,mg/100g,0.00015,0,0.13,0.0010540225,25,561
3777,Lanthanum,138.90634816,Compound,mg/100g,0.0001,0,1.35,0.00271,26,561
3775,Hafnium,179.94654876,Compound,mg/100g,0.00007972,0,0.01,0.00007,18,561
30231,Platinum,194.964774449,Compound,mg/100g,0.00005,0,0.0004,0.00007608,16,561
30232,Thallium,204.974428,Compound,mg/100g,0.0003,0.00002529,0.004,0.0004,12,561
3728,Uranium,238.050782583,Compound,mg/100g,0.000075,0.00001539,0.004,0.0007905425,6,561
11831,Genistein,270.052823422,Compound,mg/100g,0.085,0,230,5.1274999355,54,561
698,Glycitein,284.068473486,Compound,mg/100g,0.07,0,22.37,6.68749995725,34,561
5583,Isoflavones,222.068079562,Compound,mg/100g,0.065,0.01,650.5,2.0125,51,561
558,Alliin,177.045963913,Compound,mg/100g,750,750,750,0,1,561
806,2-Methylbenzaldehyde,120.057514878,Compound,mg/100g,0.01,0.01,0.01,0,1,561
1351,Gitonin,1050.52468893,Compound,mg/100g,30,30,30,0,1,561
1353,Uttronin A,1034.529774308,Compound,mg/100g,40,40,40,0,1,561
3492,Dimethyl disulfide,93.991091572,Compound,mg/100g,0.638,0.155,1.121,0.483,2,561
3531,"1,2-Dimercaptocyclopentane",134.02239267,Compound,mg/100g,0.24,0.24,0.24,0,1,561
3532,"1,2-Epithiopropane",74.019020882,Compound,mg/100g,0.088,0.088,0.088,0,1,561
3537,"2,5-Dimethyltetrahydrothiophene",116.06597156,Compound,mg/100g,0.06,0.06,0.06,0,1,561
3548,3-Methyl-2-cyclopentene-1-thione,112.034671432,Compound,mg/100g,0.088,0.088,0.088,0,1,561
3572,Aniline,93.057849229,Compound,mg/100g,0.625,0.15,3.1,2.385,5,561
3664,Propene,42.046950192,Compound,mg/100g,0.3005,0.3005,0.3005,0,1,561
3678,Protoeruboside B,1260.598641732,Compound,mg/100g,10,10,10,0,1,561
3686,S-Allylmercaptocysteine,193.023119981,Compound,mg/100g,0.2,0.2,0.2,0,1,561
8047,"1,3-Dithiane",120.006741636,Compound,mg/100g,0.154,0.154,0.154,0,1,561
8073,1-Hexanol,102.10446507,Compound,mg/100g,0.023,0.00000196,6200,0.7988,12,561
8313,Allyl alcohol,58.041864814,Compound,mg/100g,6.055,6.055,6.055,0,1,561
8543,4-Methyl-5-vinylthiazole,125.029919919,Compound,mg/100g,0.075,0.075,0.075,0,1,561
8558,Methyl propyl disulfide,122.0223917,Compound,mg/100g,0.0345,0.0345,0.0345,0,1,561
9283,"(+/-)-cis- and trans-3,5-Diethyl-1,2,4-trithiolane",180.010112454,Compound,mg/100g,2.1575,2.1575,2.1575,0,1,561
9642,Isobutyl isothiocyanate,115.045569983,Compound,mg/100g,1.257,1.257,1.257,0,1,561
11639,Ajoene,234.02067714,Compound,mg/100g,26.8,26.8,26.8,0,1,561
12113,2-Propenyl propyl disulfide,148.038041764,Compound,mg/100g,12.6,12.6,12.6,0,1,561
12193,Allicin,162.017306322,Compound,mg/100g,1465,1465,1465,0,1,561
12461,Dimethyl trisulfide,125.963162262,Compound,mg/100g,2.87,0.99,4.75,1.88,2,561
12678,S-Allylcysteine,161.051049291,Compound,mg/100g,1,1,1,0,1,561
13483,"2-Vinyl-4H-1,3-dithiine",144.006741636,Compound,mg/100g,1.55,1.55,1.55,0,1,561
19357,Sativoside B1,1422.651465162,Compound,mg/100g,3,3,3,0,1,561
19489,Sativoside R2,1196.582597738,Compound,mg/100g,30,30,30,0,1,561
19490,Sativoside R1,1376.645985854,Compound,mg/100g,50,50,50,0,1,561
21330,Methyl 2-propenyl disulfide,120.006741636,Compound,mg/100g,5.5,5.5,5.5,0,1,561
21334,(E)-Methyl 1-propenyl disulfide,120.006741636,Compound,mg/100g,0.09,0.09,0.09,0,1,561
1936,Stigmasterol,412.370516166,Compound,mg/100g,2,0,354,5,40,561
12524,Campesterol,400.370516158,Compound,mg/100g,6,0,241,8,38,561
12365,beta-Sitosterol,414.38616623,Compound,mg/100g,78,0,1200,107.8,44,561
3770,Europium,152.921226219,Compound,mg/100g,0.0006,0,0.01,0.0046625,13,561
3780,Lutetium,174.940767904,Compound,mg/100g,0.001,0.0003,0.002,0.00015,8,561
3785,Samarium,151.919728244,Compound,mg/100g,0.0035,0.0002,0.01,0.001,9,561
3786,Scandium,44.955910243,Compound,mg/100g,0.00035,0.0002,0.002,0.000125,8,561
3789,Thorium,232.03805036,Compound,mg/100g,0.02,0.01,0.04,0.0225,6,561
3794,Ytterbium,173.938858101,Compound,mg/100g,0.01,0.0001,0.4445,0.033725,13,561
